date,open,high,low,close,volume,rsi,vwap,sma,ema,vix,spx,gold,nasdaq,dji,dx,fear&greed_idx,fgi_cls,close_ffd,eos_price,prediction,ground_truth,pred,lab,meta_target
2022-11-01,20490.74,20700.0,20330.74,20483.62,279932.43771,65.15848375829916,19816.95434318324,19767.329,19997.059891207897,25.809999465942383,3856.10009765625,1645.0,10890.849609375,32653.19921875,111.4800033569336,30.0,Fear,801.5812879612531,,,,,,
2022-11-02,20482.81,20800.0,20048.04,20151.84,373716.27299,63.0375829221578,19918.34379558923,19806.1645,20011.80085395,25.86000061035156,3759.68994140625,1645.699951171875,10524.7998046875,32147.759765625,111.3499984741211,30.0,Fear,478.1612450019384,,,,,,
2022-11-03,20151.84,20393.32,20031.24,20207.82,319185.1544,64.88681982083213,19973.617381567565,19857.709,20030.46934405,25.299999237060547,3719.889892578125,1627.300048828125,10342.9404296875,32001.25,112.93000030517578,30.0,Fear,699.0083396176378,20207.82,20702.7109375,17601.15,0.0,1.0,0.0
2022-11-04,20207.12,21302.05,20180.96,21148.52,453694.39165,70.95580391750968,20069.42387944368,19961.6655,20136.95035890238,24.549999237060547,3770.550048828125,1672.5,10475.25,32403.220703125,110.87999725341795,30.0,Fear,1650.543626644565,21148.52,21731.521484375,17070.31,0.0,1.0,0.0
2022-11-05,21148.52,21480.65,21080.65,21299.37,245621.98525,71.62043343653252,20144.217280628825,20063.485,20247.65699138787,24.48333295186361,3782.6333821614585,1673.8333333333333,10505.006510416666,32544.48046875,110.62666575113931,38.0,Fear,1342.039159599928,21299.37,21933.9560546875,16812.08,0.0,1.0,0.0
2022-11-06,21299.37,21365.27,20886.13,20905.58,230036.97217,63.70050525987435,20210.54943483423,20131.271,20310.316325541404,24.416666666666668,3794.716715494792,1675.1666666666667,10534.763020833334,32685.740234375,110.37333424886069,40.0,Fear,762.2267440122414,20905.58,21525.5859375,16329.85,0.0,1.0,0.0
2022-11-07,20905.58,21069.77,20384.89,20591.13,386977.60337,62.75050490143558,20282.2748206803,20194.455500000004,20337.06048501365,24.350000381469727,3806.800048828125,1676.5,10564.51953125,32827.0,110.12000274658205,33.0,Fear,571.7570670067107,20591.13,21047.74609375,16619.46,0.0,1.0,0.0
2022-11-08,20590.67,20700.88,17166.83,18547.23,760705.362783,37.71774630372143,20132.80839158181,20165.6185,20166.600438821875,25.540000915527344,3828.110107421875,1712.0999755859375,10616.2001953125,33160.828125,109.62000274658205,31.0,Fear,-1308.400222575303,18547.23,18901.962890625,16900.57,0.0,1.0,0.0
2022-11-09,18545.38,18587.76,15588.0,15922.81,731926.929729,20.336450930874463,19790.197355638607,20009.663,19762.42992083884,26.09000015258789,3748.570068359375,1710.0999755859375,10353.169921875,32513.939453125,110.5500030517578,29.0,Fear,-2875.805128000842,15922.81,15929.537109375,16662.76,1.0,0.0,0.0
2022-11-10,15922.68,18199.0,15754.26,17601.15,608448.36432,35.63193746653269,19593.243475390733,19931.502,19556.593737901807,23.530000686645508,3956.3701171875,1750.300048828125,11114.150390625,33715.37109375,108.20999908447266,22.0,Extreme Fear,384.2147962064119,17601.15,17641.4990234375,16692.56,1.0,1.0,1.0
2022-11-11,17602.45,17695.0,16361.6,17070.31,393552.86492,31.67574329295769,19461.45055790781,19824.8,19319.804810482587,22.520000457763672,3992.929931640625,1766.0,11323.330078125,33747.859375,106.29000091552734,25.0,Extreme Fear,-522.9766222302205,17070.31,17202.1796875,16700.45,0.0,1.0,0.0
2022-11-12,17069.98,17119.1,16631.39,16812.08,167819.96035,29.2856602479136,19401.73402958401,19686.884,19080.97387615091,22.923333485921223,3981.03662109375,1768.5333251953125,11280.9599609375,33677.47265625,106.41333516438802,21.0,Extreme Fear,-477.9364743830665,16812.08,16837.9296875,16700.68,0.0,1.0,0.0
2022-11-13,16813.16,16954.28,16229.0,16329.85,184960.78846,28.40250186695239,19328.800391467,19536.8905,18818.962078422253,23.326666514078777,3969.143310546875,1771.066650390625,11238.58984375,33607.0859375,106.5366694132487,22.0,Extreme Fear,-708.7535731556181,16329.85,16327.8330078125,16280.23,1.0,1.0,1.0
2022-11-14,16331.78,17190.0,15815.21,16619.46,380210.7775,30.83949698284735,19156.758797705348,19363.86,18609.485690001085,23.729999542236328,3957.25,1773.5999755859375,11196.2197265625,33536.69921875,106.66000366210938,24.0,Extreme Fear,-62.719104347623215,16619.46,16552.21484375,15781.29,1.0,1.0,1.0
2022-11-15,16617.72,17134.69,16527.72,16900.57,282461.84391,32.73433607389197,18988.633126985376,19170.309,18446.731814762887,24.540000915527344,3991.72998046875,1773.800048828125,11358.41015625,33592.921875,106.4000015258789,22.0,Extreme Fear,212.82756283619528,16900.57,16637.060546875,16226.94,1.0,1.0,1.0
2022-11-16,16900.57,17015.92,16378.61,16662.76,261493.40809,33.03349652702809,18835.886700028328,18988.6915,18276.82973716642,24.11000061035156,3958.7900390625,1773.0,11183.66015625,33553.828125,106.27999877929688,23.0,Extreme Fear,-111.4479153570137,16662.76,16287.625,16603.11,1.0,1.0,1.0
2022-11-17,16661.61,16751.0,16410.74,16692.56,228038.97873,32.862555674292736,18698.346832365365,18793.7275,18125.94690505533,23.93000030517578,3946.56005859375,1760.800048828125,11144.9599609375,33546.3203125,106.69000244140624,20.0,Extreme Fear,51.3215606462436,16692.56,16465.201171875,16598.95,1.0,1.0,1.0
