date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2023-05-10,27598.75,0.1691576702954249,62.0878906250031,0.07692188031090139,1.2307671965285323,-6.471278625373582e-07,0.35,0.51,0.0,1.0,28008.377,0.0,0.0
2023-05-11,26968.62,0.166736266059077,-34.57073102678271,0.1707330036562707,1.46341477818403,0.12554158244038427,0.45,0.41,0.0,1.0,26716.312,0.0,0.0
2023-05-12,26795.01,0.194862442736789,10.392647879468951,0.022222659734385867,1.4333353767140067,0.07407454782431153,0.46,0.43,0.0,1.0,26674.758,0.0,0.0
2023-05-13,26775.28,0.152066911066646,-10.414620535710704,0.06666821459979268,1.244444464289741,0.04717033093017723,0.42,0.41,0.0,1.0,26827.871,0.0,1.0
2023-05-14,26917.62,0.1609705728381944,-27.83203124999542,0.09090842809321875,1.193185080478689,0.09502241845222692,0.475,0.38,0.0,0.0,26690.873,0.0,0.0
2023-05-15,27162.14,0.1526966270870679,6.972516741074467,-0.11111037004924357,1.4583358344171362,0.14285790944618235,0.42,0.38,0.0,0.0,27136.709,0.0,0.0
2023-05-16,27033.84,0.1515074116142736,-20.94098772320961,-0.09090942125756064,1.4545489232043867,-0.05213226471954666,0.46,0.345,0.0,0.0,26776.492,0.0,0.0
2023-05-17,27405.61,0.141271809118535,-38.45396205356679,1.9953707398834704e-06,1.3124991270253032,0.0526314091474041,0.46,0.335,0.0,0.0,27211.412,0.0,0.0
2023-05-18,26821.28,0.1487725867263433,-59.48423549106702,0.11111135722291379,1.555557893617681,0.004974897005869972,0.515,0.37,0.0,0.0,26453.107,0.0,0.0
2023-05-19,26880.26,0.1402731322072035,-35.02371651785284,-0.13513571706171187,1.2972985775357662,-0.15183244116650818,0.455,0.32,0.0,0.0,26673.967,0.0,0.0
2023-05-20,27102.43,0.1469744150557807,3.766071190855084e-12,-0.20000079572219748,1.1125024368992298,-0.004975563038239985,0.495,0.34,0.0,0.0,26901.688,0.0,0.0
